ID#,train_date,Trainertype,t_rating01,t_rating02,t_rating03,t_rating04,t_rating05,t_rating06,t_rating07,t_rating08,t_rating09,t_rating10,t_rating11,t_rating12,t_rating13,t_rating14,t_rating15,t_rating16,t_rating17,t_rating18,t_rating19,t_rating20,t_rating21,t_rating22,t_rating23,t_rating24,Charac_avg,Train_comp
7015,42341,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7100,42426,1,5,5,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,4,3,5,4,4,5,5,4.684210526,4.6
7100,42426,0,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,3,5,4,4,5,5,4.736842105,4.6
7101,42424,1,4,4,5,5,4,5,5,4,5,5,5,5,5,5,4,4,5,4,4,999,999,999,999,999,4.578947368, 
7101,42424,0,4,4,4,5,5,4,5,5,5,4,5,4,4,4,5,4,5,4,4,4,3,4,4,4,4.421052632,3.8
7103,42345,0,4,4,4,5,4,5,4,5,4,5,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4.315789474,4
7103,42345,1,4,4,4,5,5,4,4,4,5,4,4,5,4,999,5,4,4,4,4,44,4,4,4,4,4.277777778,12
7105,42341,0,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,5,3.947368421,4.4
7107,42426,1,3,4,4,4,4,4,4,4,3,4,3,3,3,3,5,5,5,5,5,999,999,999,999,999,3.947368421, 
7107,42426,0,3,3,3,3,3,5,4,3,4,5,5,3,4,5,5,5,5,5,5,999,999,999,999,999,4.105263158, 
7108,42341,0,4,4,5,5,3,4,4,4,4,2,4,5,3,4,5,4,4,5,5,4,3,3,3,4,4.105263158,3.4
7108,42341,1,4,4,4,5,5,5,4,5,5,3,4,4,4,3,5,4,5,5,5,4,4,4,4,4,4.368421053,4
7109, ,1,5,5,5,5,4,5,5,4,5,4,5,5,5,5,4,4,5,5,5,5,4,4,4,4,4.736842105,4.2
7109, ,0,3,4,3,5,4,5,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,4,3,3,4.473684211,4
7109, ,1,5,5,4,4,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,4,3,3,3,4.736842105,3.6
7110,42341,0,3,3,3,4,4,5,4,4,5,4,5,4,3,2,3,4,3,4,5,2,4,4,3,2,3.789473684,3
7110,42341,1,4,3,4,5,5,3,5,5,4,4,4,5,5,5,2,3,4,2,3,3,3,2,4,3,3.947368421,3
7111,42345,0,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4.947368421,4.2
7111,42346,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7113,42341,0,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3.894736842,3.6
7113,42341,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3.894736842,3.6
7114,42396,1,4,5,4,4,3,4,4,2,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4.210526316,5
7114,42396,0,4,5,4,5,3,3,5,3,5,3,3,4,4,5,5,5,5,5,5,4,5,5,5,5,4.263157895,4.8
7114,42396,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4.894736842,4.8
7117,42396,1,4,4,4,3,3,4,4,4,4,3,3,4,999,5,4,4,4,5,4,4,4,4,4,4,3.888888889,4
7117,42396,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,4,5,5,0,0,0,0,0,3.368421053,0
7117,42396,0,3,3,3,5,2,5,3,2,4,4,3,3,3,3,5,5,5,5,5,4,4,4,4,4,3.736842105,4
7117,42396,1,4,4,4,3,4,4,5,4,5,4,4,5,5,5,3,4,4,4,4,4,4,4,4,4,4.157894737,4
7118,42344,0,4,4,5,5,4,4,4,4,5,5,5,5,4,4,5,5,4,5,5,4,4,5,5,5,4.526315789,4.6
7118,42346,1,4,4,4,5,5,4,5,5,5,4,4,4,5,5,5,4,4,4,5,4,4,4,5,5,4.473684211,4.4
7120,42396,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4.842105263,4
